model                                  mode              T   ncnn(ms)   cmpd(ms)   ratio
pp_ocrv5_server_rec                    end_to_end        6      460.4     8942.0   19.42
pp_formulanet_plus_s_encoder           end_to_end        6       65.2      993.9   15.25
pp_ocrv6_medium_rec_int8               end_to_end        6       25.2      126.3    5.01
pp_ocrv6_small_rec_int8                end_to_end        6       10.3       45.6    4.42
pp_ocrv6_tiny_rec_int8                 end_to_end        6        2.8       11.4    4.03
chineseocr_lite_anglenet               end_to_end        6        0.8        2.7    3.57
yolov5n_cls                            end_to_end        6        3.2       11.1    3.46
pp_ocrv6_tiny_rec                      end_to_end        6        3.2        9.6    2.97
pp_ocrv6_small_rec                     end_to_end        6       13.0       37.0    2.85
efficientnet_b2                        end_to_end        6       21.4       56.2    2.62
pp_lcnet_x1_0_doc_ori                  end_to_end        6        3.4        8.6    2.50
pp_ocrv5_server_det_static             end_to_end        6     4735.9    11599.9    2.45
efficientnet_b0                        end_to_end        6       11.0       26.6    2.41
pp_lcnet_x1_0_textline_ori             end_to_end        6        4.2        9.3    2.24
efficientnet_b3                        end_to_end        6       39.6       85.9    2.17
resnet18                               end_to_end        6       15.9       34.4    2.16
yolov5m_cls                            end_to_end        6       14.9       32.2    2.15
squeezenet_v1_1                        end_to_end        6        6.7       14.2    2.12
yolov5l_cls                            end_to_end        6       32.3       67.3    2.08
resnet50                               end_to_end        6       32.1       66.9    2.08
resnet34                               end_to_end        6       27.0       56.2    2.08
pp_ocrv6_tiny_det                      end_to_end        6       58.5      121.6    2.08
pp_ocrv6_medium_rec                    end_to_end        6       49.1      101.2    2.06
efficientnet_b1                        end_to_end        6       16.4       33.7    2.06
yolov5l_seg                            end_to_end        6      453.3      902.1    1.99
yolov5x                                end_to_end        6      563.3     1102.4    1.96
pp_ocrv6_small_det                     end_to_end        6      107.2      207.8    1.94
yolov5x_cls                            end_to_end        6       55.0      106.6    1.94
yolov5x_seg                            end_to_end        6      713.1     1350.7    1.89
resnet101                              end_to_end        6       53.4      100.1    1.88
yolov5l                                end_to_end        6      369.0      669.4    1.81
pp_ocrv5_mobile_rec_int8               end_to_end        6       23.7       43.0    1.81
yolov5s_cls                            end_to_end        6        8.1       14.0    1.72
pp_ocrv6_medium_det_int8               end_to_end        6        4.8        7.7    1.61
yolov5m_seg                            end_to_end        6      260.2      419.2    1.61
pp_ocrv6_medium_det                    end_to_end        6      461.7      733.3    1.59
pp_ocrv5_mobile_rec                    end_to_end        6       24.1       38.1    1.58
pp_structrurev2_slanet_plus_cnn        end_to_end        6       49.5       76.5    1.54
yolov5m                                end_to_end        6      191.3      291.6    1.52
yolov5s_seg                            end_to_end        6      142.8      194.8    1.36
yolov5n_seg                            end_to_end        6       75.8       98.9    1.30
yolov5s                                end_to_end        6      100.1      126.0    1.26
yolov5n                                end_to_end        6       53.8       65.4    1.22
pp_ocrv5_mobile_det_static             end_to_end        6      119.4      144.8    1.21
mode=end_to_end n=44 p50=2.07 p90=3.89 max=19.42 records=44
  heavy(ncnn>=100ms) n=13 p50=1.81 p90=2.36 max=19.42
