model                                  mode              T   ncnn(ms)   cmpd(ms)   ratio
chineseocr_lite_anglenet               end_to_end        6        0.8        4.1    4.79
pp_ocrv6_medium_rec_int8               end_to_end        6       22.4      104.0    4.63
pp_ocrv6_tiny_rec_int8                 end_to_end        6        2.9       12.6    4.40
pp_ocrv6_small_rec_int8                end_to_end        6       10.0       38.0    3.80
pp_ocrv6_small_rec                     end_to_end        6       12.6       32.6    2.59
pp_ocrv6_tiny_rec                      end_to_end        6        3.4        8.5    2.49
pp_ocrv6_medium_det_int8               end_to_end        6        3.8        9.4    2.48
squeezenet_v1_1                        end_to_end        6        5.7       13.5    2.36
efficientnet_b0                        end_to_end        6       10.6       24.5    2.32
resnet18                               end_to_end        6       12.5       28.5    2.29
efficientnet_b2                        end_to_end        6       21.3       48.5    2.27
pp_formulanet_plus_s_encoder           end_to_end        6       55.1      120.8    2.19
yolov5n_cls                            end_to_end        6        3.7        8.1    2.17
efficientnet_b1                        end_to_end        6       15.2       31.9    2.10
efficientnet_b3                        end_to_end        6       41.2       84.5    2.05
resnet50                               end_to_end        6       28.5       57.3    2.01
pp_lcnet_x1_0_doc_ori                  end_to_end        6        4.7        9.3    1.99
pp_ocrv6_tiny_det                      end_to_end        6       50.7      100.1    1.98
resnet34                               end_to_end        6       20.8       40.9    1.96
pp_ocrv6_small_det                     end_to_end        6       88.8      171.9    1.94
pp_lcnet_x1_0_textline_ori             end_to_end        6        4.8        9.1    1.90
resnet101                              end_to_end        6       49.9       92.5    1.85
pp_ocrv5_mobile_rec_int8               end_to_end        6       22.1       40.5    1.83
yolov5s_cls                            end_to_end        6        6.7       11.6    1.74
yolov5x_seg                            end_to_end        6      643.7     1096.5    1.70
yolov5x                                end_to_end        6      494.6      841.5    1.70
pp_ocrv6_medium_rec                    end_to_end        6       40.6       68.9    1.70
yolov5x_cls                            end_to_end        6       46.2       78.2    1.69
yolov5l_cls                            end_to_end        6       29.7       49.2    1.66
pp_structrurev2_slanet_plus_cnn        end_to_end        6       41.3       68.3    1.65
yolov5l_seg                            end_to_end        6      412.3      670.5    1.63
yolov5l                                end_to_end        6      302.2      486.9    1.61
yolov5m_cls                            end_to_end        6       13.5       21.0    1.56
pp_ocrv6_medium_det                    end_to_end        6      386.1      596.3    1.54
yolov5m_seg                            end_to_end        6      246.4      354.1    1.44
yolov5s_seg                            end_to_end        6      124.8      161.8    1.30
pp_ocrv5_mobile_rec                    end_to_end        6       22.8       29.5    1.29
yolov5m                                end_to_end        6      167.6      215.8    1.29
yolov5n_seg                            end_to_end        6       81.9      105.2    1.28
yolov5n                                end_to_end        6       46.9       56.8    1.21
yolov5s                                end_to_end        6       93.0      110.2    1.19
pp_ocrv5_mobile_det_static             end_to_end        6      134.6      147.1    1.09
pp_ocrv5_server_rec                    end_to_end        6      453.1      435.1    0.96
pp_ocrv5_server_det_static             end_to_end        6     4611.4     4160.4    0.90
mode=end_to_end n=44 p50=1.84 p90=2.56 max=4.79 records=44
  heavy(ncnn>=100ms) n=11 p50=1.44 p90=1.70 max=1.70
