model                                  mode              T   ncnn(ms)   cmpd(ms)   ratio
chineseocr_lite_anglenet               end_to_end        6        0.8        3.8    5.01
pp_ocrv6_small_rec_int8                end_to_end        6        9.1       39.2    4.30
pp_ocrv6_tiny_rec_int8                 end_to_end        6        2.4       10.4    4.27
pp_ocrv6_medium_rec_int8               end_to_end        6       25.6      102.6    4.01
pp_ocrv6_tiny_rec                      end_to_end        6        3.0        9.1    2.99
pp_ocrv6_small_rec                     end_to_end        6       11.6       29.6    2.56
resnet18                               end_to_end        6       11.8       27.7    2.36
efficientnet_b0                        end_to_end        6        9.4       22.0    2.35
yolov5n_cls                            end_to_end        6        3.4        8.0    2.35
squeezenet_v1_1                        end_to_end        6        5.1       11.6    2.26
efficientnet_b2                        end_to_end        6       19.1       43.2    2.26
pp_formulanet_plus_s_encoder           end_to_end        6       52.6      117.5    2.23
pp_ocrv6_medium_det_int8               end_to_end        6        3.8        8.3    2.17
efficientnet_b1                        end_to_end        6       15.0       31.7    2.12
resnet50                               end_to_end        6       26.9       56.7    2.11
pp_lcnet_x1_0_doc_ori                  end_to_end        6        3.1        6.4    2.09
yolov5s_cls                            end_to_end        6        6.2       12.7    2.03
resnet34                               end_to_end        6       21.7       43.4    2.00
efficientnet_b3                        end_to_end        6       34.4       67.1    1.95
pp_ocrv6_tiny_det                      end_to_end        6       48.0       92.9    1.94
pp_ocrv6_medium_rec                    end_to_end        6       35.2       65.6    1.86
yolov5m_cls                            end_to_end        6       13.9       25.3    1.81
pp_ocrv6_small_det                     end_to_end        6       88.9      159.6    1.79
resnet101                              end_to_end        6       48.7       87.1    1.79
pp_ocrv5_mobile_rec_int8               end_to_end        6       19.8       35.3    1.78
yolov5l_cls                            end_to_end        6       28.3       47.5    1.68
yolov5x_cls                            end_to_end        6       46.8       78.1    1.67
yolov5l_seg                            end_to_end        6      378.0      629.0    1.66
yolov5x_seg                            end_to_end        6      593.4      985.7    1.66
yolov5x                                end_to_end        6      487.6      806.7    1.66
pp_structrurev2_slanet_plus_cnn        end_to_end        6       39.9       63.0    1.58
yolov5l                                end_to_end        6      294.9      442.8    1.50
pp_lcnet_x1_0_textline_ori             end_to_end        6        4.0        6.0    1.48
pp_ocrv6_medium_det                    end_to_end        6      384.1      553.0    1.44
yolov5m_seg                            end_to_end        6      225.1      301.6    1.34
yolov5m                                end_to_end        6      163.4      205.7    1.26
yolov5s_seg                            end_to_end        6      122.5      152.2    1.24
yolov5n_seg                            end_to_end        6       61.8       76.4    1.24
pp_ocrv5_mobile_rec                    end_to_end        6       23.0       27.2    1.18
yolov5s                                end_to_end        6       83.3       94.8    1.14
yolov5n                                end_to_end        6       44.6       50.5    1.13
pp_ocrv5_mobile_det_static             end_to_end        6      106.5      116.2    1.09
pp_ocrv5_server_rec                    end_to_end        6      445.5      428.3    0.96
pp_ocrv5_server_det_static             end_to_end        6     4564.1     4061.3    0.89
mode=end_to_end n=44 p50=1.80 p90=2.86 max=5.01 records=44
  heavy(ncnn>=100ms) n=11 p50=1.34 p90=1.66 max=1.66
